aspect,mentions,pos,neg,scope,group,neg_ratio,pos_ratio
空調冷氣,1010,338,144,行政區,中正區,0.1426,0.3347
空間大小,7711,4888,998,行政區,中正區,0.1294,0.6339
網路WiFi,608,203,70,行政區,中正區,0.1151,0.3339
衛浴熱水,2945,1413,317,行政區,中正區,0.1076,0.4798
設備廚房,2137,986,135,行政區,中正區,0.0632,0.4614
隔音噪音,2491,1609,333,行政區,中正區,0.1337,0.6459
位置交通,12472,9861,88,行政區,信義區,0.0071,0.7907
停車,123,67,9,行政區,信義區,0.0732,0.5447
入住流程,2706,1325,95,行政區,信義區,0.0351,0.4897
床與睡眠,2448,1280,139,行政區,信義區,0.0568,0.5229
性價比,1496,1055,53,行政區,信義區,0.0354,0.7052
房東服務,9003,6690,157,行政區,信義區,0.0174,0.7431
早餐餐飲,2104,983,48,行政區,信義區,0.0228,0.4672
清潔,5861,5503,55,行政區,信義區,0.0094,0.9389
空調冷氣,550,210,90,行政區,信義區,0.1636,0.3818
空間大小,5028,3278,625,行政區,信義區,0.1243,0.6519
網路WiFi,350,151,40,行政區,信義區,0.1143,0.4314
衛浴熱水,1596,724,207,行政區,信義區,0.1297,0.4536
設備廚房,1586,732,94,行政區,信義區,0.0593,0.4615
隔音噪音,1835,1290,209,行政區,信義區,0.1139,0.703
位置交通,683,516,7,行政區,內湖區,0.0102,0.7555
停車,50,26,3,行政區,內湖區,0.06,0.52
入住流程,190,92,14,行政區,內湖區,0.0737,0.4842
床與睡眠,178,92,12,行政區,內湖區,0.0674,0.5169
性價比,127,85,7,行政區,內湖區,0.0551,0.6693
房東服務,683,526,15,行政區,內湖區,0.022,0.7701
早餐餐飲,138,78,3,行政區,內湖區,0.0217,0.5652
清潔,368,332,9,行政區,內湖區,0.0245,0.9022
空調冷氣,40,13,10,行政區,內湖區,0.25,0.325
空間大小,489,323,40,行政區,內湖區,0.0818,0.6605
網路WiFi,19,5,1,行政區,內湖區,0.0526,0.2632
衛浴熱水,83,29,18,行政區,內湖區,0.2169,0.3494
設備廚房,132,78,10,行政區,內湖區,0.0758,0.5909
隔音噪音,130,89,23,行政區,內湖區,0.1769,0.6846
位置交通,503,386,11,行政區,北投區,0.0219,0.7674
停車,21,14,1,行政區,北投區,0.0476,0.6667
入住流程,143,74,3,行政區,北投區,0.021,0.5175
床與睡眠,122,73,4,行政區,北投區,0.0328,0.5984
性價比,86,64,2,行政區,北投區,0.0233,0.7442
房東服務,508,374,4,行政區,北投區,0.0079,0.7362
早餐餐飲,106,51,2,行政區,北投區,0.0189,0.4811
清潔,299,286,2,行政區,北投區,0.0067,0.9565
空調冷氣,28,14,5,行政區,北投區,0.1786,0.5
空間大小,300,222,24,行政區,北投區,0.08,0.74
網路WiFi,30,15,1,行政區,北投區,0.0333,0.5
衛浴熱水,70,39,4,行政區,北投區,0.0571,0.5571
設備廚房,129,77,5,行政區,北投區,0.0388,0.5969
隔音噪音,131,112,8,行政區,北投區,0.0611,0.855
位置交通,469,339,7,行政區,南港區,0.0149,0.7228
停車,14,8,1,行政區,南港區,0.0714,0.5714
入住流程,113,64,6,行政區,南港區,0.0531,0.5664
床與睡眠,120,57,7,行政區,南港區,0.0583,0.475
性價比,76,55,1,行政區,南港區,0.0132,0.7237
房東服務,439,329,9,行政區,南港區,0.0205,0.7494
早餐餐飲,76,36,0,行政區,南港區,0.0,0.4737
清潔,328,302,6,行政區,南港區,0.0183,0.9207
空調冷氣,34,13,4,行政區,南港區,0.1176,0.3824
空間大小,248,183,22,行政區,南港區,0.0887,0.7379
網路WiFi,22,10,1,行政區,南港區,0.0455,0.4545
衛浴熱水,89,44,10,行政區,南港區,0.1124,0.4944
設備廚房,88,40,6,行政區,南港區,0.0682,0.4545
隔音噪音,108,88,7,行政區,南港區,0.0648,0.8148
位置交通,3487,2627,40,行政區,士林區,0.0115,0.7534
停車,52,23,6,行政區,士林區,0.1154,0.4423
入住流程,831,381,28,行政區,士林區,0.0337,0.4585
床與睡眠,766,406,79,行政區,士林區,0.1031,0.53
性價比,582,416,25,行政區,士林區,0.043,0.7148
房東服務,2626,1911,56,行政區,士林區,0.0213,0.7277
早餐餐飲,664,302,11,行政區,士林區,0.0166,0.4548
清潔,1811,1700,27,行政區,士林區,0.0149,0.9387
空調冷氣,228,76,44,行政區,士林區,0.193,0.3333
空間大小,1464,928,191,行政區,士林區,0.1305,0.6339
網路WiFi,125,58,10,行政區,士林區,0.08,0.464
衛浴熱水,492,242,59,行政區,士林區,0.1199,0.4919
設備廚房,490,246,26,行政區,士林區,0.0531,0.502
隔音噪音,864,615,113,行政區,士林區,0.1308,0.7118
位置交通,7865,6018,57,行政區,大同區,0.0072,0.7652
停車,57,25,6,行政區,大同區,0.1053,0.4386
入住流程,1745,790,60,行政區,大同區,0.0344,0.4527
床與睡眠,1642,912,90,行政區,大同區,0.0548,0.5554
性價比,785,596,32,行政區,大同區,0.0408,0.7592
房東服務,5024,3560,110,行政區,大同區,0.0219,0.7086
早餐餐飲,1236,526,26,行政區,大同區,0.021,0.4256
清潔,3942,3597,43,行政區,大同區,0.0109,0.9125
空調冷氣,441,161,79,行政區,大同區,0.1791,0.3651
空間大小,3180,1952,445,行政區,大同區,0.1399,0.6138
網路WiFi,204,84,22,行政區,大同區,0.1078,0.4118
衛浴熱水,1158,513,125,行政區,大同區,0.1079,0.443
設備廚房,1011,493,80,行政區,大同區,0.0791,0.4876
隔音噪音,1314,796,214,行政區,大同區,0.1629,0.6058
位置交通,20631,16394,156,行政區,大安區,0.0076,0.7946
停車,213,123,5,行政區,大安區,0.0235,0.5775
入住流程,4567,2065,158,行政區,大安區,0.0346,0.4522
床與睡眠,4600,2449,238,行政區,大安區,0.0517,0.5324
性價比,2111,1474,85,行政區,大安區,0.0403,0.6982
房東服務,15374,11184,287,行政區,大安區,0.0187,0.7275
早餐餐飲,3828,1782,79,行政區,大安區,0.0206,0.4655
清潔,10320,9700,104,行政區,大安區,0.0101,0.9399
空調冷氣,1133,380,146,行政區,大安區,0.1289,0.3354
空間大小,9054,6027,1064,行政區,大安區,0.1175,0.6657
網路WiFi,720,300,68,行政區,大安區,0.0944,0.4167
衛浴熱水,2976,1244,361,行政區,大安區,0.1213,0.418
設備廚房,3049,1469,174,行政區,大安區,0.0571,0.4818
隔音噪音,3552,2499,413,行政區,大安區,0.1163,0.7035
位置交通,1012,724,13,行政區,文山區,0.0128,0.7154
停車,33,18,3,行政區,文山區,0.0909,0.5455
入住流程,279,156,9,行政區,文山區,0.0323,0.5591
床與睡眠,258,147,11,行政區,文山區,0.0426,0.5698
性價比,151,111,9,行政區,文山區,0.0596,0.7351
房東服務,925,693,16,行政區,文山區,0.0173,0.7492
早餐餐飲,199,76,5,行政區,文山區,0.0251,0.3819
清潔,671,628,8,行政區,文山區,0.0119,0.9359
空調冷氣,68,27,10,行政區,文山區,0.1471,0.3971
空間大小,522,346,50,行政區,文山區,0.0958,0.6628
網路WiFi,44,20,0,行政區,文山區,0.0,0.4545
衛浴熱水,232,125,18,行政區,文山區,0.0776,0.5388
設備廚房,240,138,10,行政區,文山區,0.0417,0.575
隔音噪音,312,232,30,行政區,文山區,0.0962,0.7436
位置交通,4063,3219,44,行政區,松山區,0.0108,0.7923
停車,47,30,4,行政區,松山區,0.0851,0.6383
入住流程,1014,521,44,行政區,松山區,0.0434,0.5138
床與睡眠,935,507,60,行政區,松山區,0.0642,0.5422
性價比,555,421,12,行政區,松山區,0.0216,0.7586
房東服務,2886,2124,70,行政區,松山區,0.0243,0.736
早餐餐飲,692,339,11,行政區,松山區,0.0159,0.4899
清潔,2279,2117,32,行政區,松山區,0.014,0.9289
空調冷氣,222,79,41,行政區,松山區,0.1847,0.3559
空間大小,2003,1352,193,行政區,松山區,0.0964,0.675
網路WiFi,155,50,18,行政區,松山區,0.1161,0.3226
衛浴熱水,668,310,78,行政區,松山區,0.1168,0.4641
設備廚房,658,351,37,行政區,松山區,0.0562,0.5334
隔音噪音,762,472,128,行政區,松山區,0.168,0.6194
位置交通,46704,36072,354,行政區,萬華區,0.0076,0.7724
停車,186,101,11,行政區,萬華區,0.0591,0.543
入住流程,11240,4879,392,行政區,萬華區,0.0349,0.4341
床與睡眠,9722,5278,573,行政區,萬華區,0.0589,0.5429
性價比,6337,4782,133,行政區,萬華區,0.021,0.7546
房東服務,34303,24422,602,行政區,萬華區,0.0175,0.7119
早餐餐飲,7289,3339,133,行政區,萬華區,0.0182,0.4581
清潔,22755,21172,273,行政區,萬華區,0.012,0.9304
空調冷氣,2715,921,422,行政區,萬華區,0.1554,0.3392
空間大小,15986,9602,2637,行政區,萬華區,0.165,0.6007
網路WiFi,1700,655,156,行政區,萬華區,0.0918,0.3853
衛浴熱水,6851,2853,950,行政區,萬華區,0.1387,0.4164
設備廚房,4377,2048,303,行政區,萬華區,0.0692,0.4679
隔音噪音,7063,4297,1072,行政區,萬華區,0.1518,0.6084
